stamp,tag,antenna,anchor,distance
1609055134168453631,200,0,102,7.6539998054504395
1609055134169250629,201,0,100,22.093000411987305
1609055134193461083,200,1,100,21.304000854492188
1609055134218246763,200,0,101,20.867000579833984
1609055134219245353,201,0,102,7.495999813079834
1609055134242980945,200,1,102,7.6570000648498535
1609055134244205437,201,1,100,22.027999877929688
1609055134293399037,200,0,100,21.211999893188477
1609055134294273891,201,0,101,20.645999908447266
1609055134318255124,200,1,101,20.475000381469727
1609055134319278366,201,1,102,7.328000068664551
1609055134343293381,200,0,102,7.6539998054504395
1609055134344226614,201,0,100,22.06800079345703
1609055134368459423,200,1,100,21.246999740600586
1609055134393497245,200,0,101,20.57200050354004
1609055134394227958,201,0,102,7.40500020980835
1609055134417974941,200,1,102,7.656000137329102
1609055134419164751,201,1,100,21.992000579833984
1609055134468415188,200,0,100,21.209999084472656
1609055134493427018,200,1,101,20.47800064086914
1609055134494236966,201,1,102,7.313000202178955
1609055134518420949,200,0,102,7.6529998779296875
1609055134519152255,201,0,100,22.05500030517578
1609055134543500214,200,1,100,21.30299949645996
1609055134568252245,200,0,101,20.724000930786133
1609055134569181797,201,0,102,7.388999938964844
1609055134592975724,200,1,102,7.6579999923706055
1609055134594146948,201,1,100,21.95800018310547
1609055134643413136,200,0,100,21.2549991607666
1609055134644234413,201,0,101,20.60099983215332
1609055134668261766,200,1,101,20.454999923706055
1609055134669302399,201,1,102,7.374000072479248
1609055134693491934,200,0,102,7.6570000648498535
1609055134694194633,201,0,100,22.117000579833984
1609055134718463496,200,1,100,21.452999114990234
1609055134743414485,200,0,101,20.583999633789062
1609055134744210587,201,0,102,7.519999980926514
1609055134768016804,200,1,102,7.6579999923706055
1609055134769176009,201,1,100,22.086000442504883
1609055134818448431,200,0,100,21.43600082397461
1609055134819263081,201,0,101,20.56399917602539
1609055134843501306,200,1,101,20.54800033569336
1609055134844241081,201,1,102,7.452000141143799
1609055134868428098,200,0,102,7.6579999923706055
1609055134869156368,201,0,100,22.10300064086914
